pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-04-03,91.9,-0.91,5.59,"Gray, Sonny",630105,543243,,ball,,,,,11,Ball,R,L,R,BOS,SD,B,,,0,0,2026,-0.1,1.26,-0.8378952062915388,3.487835414106001,,,657757,0,3,Top,,,,,,,0.4158223959392272,-133.95414933718055,-2.127732602481998,-1.3301135728833984,27.38434081205208,-16.7423256833879,3.171735564,1.600688976,,,,92.3,2436,6.3,824786,665966,575929,691785,702332,596115,680776,678882,677800,54.18,,,,,,,,14,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,209,-0.006,0.04,,,,-0.04,,0,0,0.459,0.5409999999999999,36,32,37,32,1,0,,,,,1.42,0.1,-0.1,,,,,,
CU,2026-04-03,80.7,-0.62,5.73,"Gray, Sonny",657757,543243,single,hit_into_play,,,,,5,"Gavin Sheets singles on a pop up to third baseman Caleb Durbin, deflected by shortstop Trevor Story.",R,L,R,BOS,SD,X,6,popup,0,1,2026,1.25,-1.1,0.1863990164905844,2.514618620613556,,,,0,3,Top,85.63,136.79,,,,,-0.6528705424443448,-117.42213555242218,1.9580986027736296,11.59377835811646,25.50341889446544,-42.94764973983594,3.350770997,1.691043307,187,66.4,45,80.4,2739,6.4,824786,665966,575929,691785,702332,596115,680776,678882,677800,54.11,0.243,0.219,0.9,1,1,0,3,13,2,Curveball,0,0,0,0,0,0,0,0,Infield shade,Strategic,27,-0.045,0.477,76.7,7.5,0.243,-0.477,88.0,0,0,0.504,0.496,36,30,37,30,1,0,,,,,4.65,-1.25,1.25,,0.0543162381406156,5.0850803089491246,29.24080213635812,35.862660241676465,28.077171907819192
FF,2026-04-03,92.0,-0.73,5.65,"Gray, Sonny",657757,543243,,called_strike,,,,,2,Called Strike,R,L,R,BOS,SD,S,,,0,0,2026,0.19,0.89,0.1613341198044486,3.44732829141034,,,,0,3,Top,,,,,,,1.819242842475919,-134.13338306101778,-1.608976827833934,1.9015208644258692,27.602430864674464,-21.230095067861672,3.350770997,1.691043307,,,,92.7,2629,6.5,824786,665966,575929,691785,702332,596115,680776,678882,677800,54.0,,,,,,,,13,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Strategic,202,0.004,-0.039,,,,0.039,,0,0,0.5,0.5,36,30,37,30,1,0,,,,,1.78,-0.19,0.19,,,,,,
SI,2026-04-03,93.5,-2.99,5.33,"King, Michael",702332,650633,grounded_into_double_play,hit_into_play,,,,,8,"Caleb Durbin grounds into a double play, catcher Luis Campusano to second baseman Jake Cronenworth to first baseman Gavin Sheets. Wilyer Abreu out at 2nd. Caleb Durbin out at 1st.",R,R,R,BOS,SD,X,2,ground_ball,0,0,2026,-1.48,0.1,-0.0140469700298693,1.8658890339173664,,,677800,1,2,Bot,126.69,204.2,,,,,10.778318147919116,-135.62041123489095,-3.0810395723302024,-20.718576606044564,31.99563245778066,-30.41043112308488,2.947063648,1.48730315,2,51.0,-46,92.2,2474,5.9,824786,669134,657757,630105,592518,593428,657656,701538,665487,54.61,0.216,0.194,0.0,1,0,0,1,12,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,226,-0.054,-0.318,35.2,5.5,0.217,0.318,88.0,0,0,0.554,0.554,31,26,31,26,1,0,,,,,2.54,1.48,1.48,,-9.819850887194027,34.696126720599906,36.11002259671292,35.527616345588726,2.101177024931342
CH,2026-04-03,88.1,-3.19,5.12,"King, Michael",677800,650633,force_out,hit_into_play,,,,,8,"Wilyer Abreu grounds into a force out, first baseman Gavin Sheets to shortstop Xander Bogaerts. Willson Contreras out at 2nd. Wilyer Abreu to 1st.",R,L,R,BOS,SD,X,3,ground_ball,0,1,2026,-1.67,0.18,-0.0194669703642771,1.8300721568812688,,,575929,0,2,Bot,142.51,174.38,,,,,11.01256994184263,-127.93063201508744,-2.0340589369608604,-20.575076908042888,25.26434105587165,-30.010248164170385,3.117322835,1.573228347,2,63.2,-47,87.4,1964,5.9,824786,669134,657757,630105,592518,593428,657656,701538,665487,54.62,0.201,0.181,0.0,1,0,0,2,11,2,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,248,-0.03,-0.293,75.4,8.1,0.202,0.293,88.0,0,0,0.584,0.584,31,27,31,27,1,0,,,,,2.76,1.67,-1.67,,19.42260539807477,-22.25921365969207,33.240360705308134,34.30716816161639,44.84349779054332
ST,2026-04-03,80.9,-3.16,5.39,"King, Michael",677800,650633,,called_strike,,,,,8,Called Strike,R,L,R,BOS,SD,S,,,0,0,2026,0.79,0.23,-0.0874582784667952,1.9543416770854485,,,575929,0,2,Bot,,,,,,,5.188332397908645,-117.78236263136542,-1.2378688659090789,6.292945142674561,23.222339068223512,-29.99858109378148,3.117322835,1.573228347,,,,80.3,2847,5.9,824786,669134,657757,630105,592518,593428,657656,701538,665487,54.59,,,,,,,,11,1,Sweeper,0,0,0,0,0,0,0,0,Infield shade,Standard,67,-0.005,-0.043,,,,0.043,,0,0,0.589,0.589,31,27,31,27,1,0,,,,,3.26,-0.79,0.79,,,,,,
SI,2026-04-03,94.4,-2.98,5.38,"King, Michael",575929,650633,walk,ball,,,,,14,"Willson Contreras challenged (pitch result), call on the field was overturned: Willson Contreras walks.",R,R,R,BOS,SD,B,,,3,2,2026,-1.53,0.31,0.8714757854620465,1.612702103069405,,,,0,2,Bot,,,,,,,13.138139686229868,-136.83998934547884,-4.462926211714784,-22.136700092841824,31.132213164845624,-27.462293921133988,3.229658793,1.62992126,,,,92.9,56,5.7,824786,669134,657757,630105,592518,593428,657656,701538,665487,54.81,,0.700091,0.7,1,0,0,,10,7,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,224,0.032,0.356,,,,-0.356,,0,0,0.557,0.557,31,34,31,34,1,0,,,,,2.28,1.53,1.53,,,,,,
FF,2026-04-03,94.0,-2.78,5.76,"King, Michael",575929,650633,,ball,,,,,11,Ball,R,R,R,BOS,SD,B,,,2,2,2026,-0.33,1.3,-1.4021490371077885,4.352202465476369,,,,0,2,Bot,,,,,,,4.226645069881033,-136.8115242165106,-0.6980490822255137,-5.104937676248968,31.81529789491956,-15.932264487108458,3.229658793,1.62992126,,,,92.8,2355,5.7,824786,669134,657757,630105,592518,593428,657656,701538,665487,54.82,,,,,,,,10,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,210,0.009,0.112,,,,-0.112,,0,0,0.548,0.548,31,34,31,34,1,0,,,,,1.29,0.33,0.33,,,,,,
SI,2026-04-03,93.5,-3.07,5.29,"King, Michael",575929,650633,,foul,,,,,4,Foul,R,R,R,BOS,SD,S,,,2,2,2026,-1.3,0.21,-0.4616096171451147,2.717598809980895,,,,0,2,Bot,,,,,,,9.416218694626794,-135.71951764291177,-1.072447548121859,-18.199899486923627,33.22428802976085,-29.56505209207889,3.229658793,1.62992126,182,71.1,22,91.9,227,5.7,824786,669134,657757,630105,592518,593428,657656,701538,665487,54.77,,,,,,,,10,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,288,0.0,0.0,75.7,7.2,,0.0,88.0,0,0,0.548,0.548,31,34,31,34,1,0,,,,,2.43,1.3,1.3,,-2.6665851106592617,6.735882842807714,33.865002865982454,31.936956540621388,21.11825281412878
ST,2026-04-03,83.3,-2.94,5.44,"King, Michael",575929,650633,,ball,,,,,14,Ball,R,R,R,BOS,SD,B,,,1,2,2026,1.42,0.16,2.470800842026039,1.770273103228102,,,,0,2,Bot,,,,,,,9.31130151465098,-120.93199313914862,-1.953826964374746,11.813689553732951,26.24298002690216,-30.400220628099007,3.229658793,1.62992126,,,,81.9,2918,5.8,824786,669134,657757,630105,592518,593428,657656,701538,665487,54.74,,,,,,,,10,4,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,59,0.004,0.043,,,,-0.043,,0,0,0.544,0.544,31,34,31,34,1,0,,,,,3.17,-1.42,-1.42,,,,,,
ST,2026-04-03,83.7,-3.14,5.41,"King, Michael",575929,650633,,swinging_strike,,,,,14,Swinging Strike,R,R,R,BOS,SD,S,,,1,1,2026,0.98,-0.22,1.211826872629631,0.4824020868992784,,,,0,2,Bot,,,,,,,7.83630097223687,-121.6321873222458,-4.130918200202257,8.014771713292742,25.81060326083551,-33.69442968312151,3.229658793,1.62992126,,,,82.4,2897,5.7,824786,669134,657757,630105,592518,593428,657656,701538,665487,54.81,,,,,,,,10,3,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,61,-0.006,-0.061,56.0,8.0,,0.061,,0,0,0.55,0.55,31,34,31,34,1,0,,,,,3.51,-0.98,-0.98,,5.692345862465519,-5.4768254629524655,43.18197216839473,50.76644359816424,31.8626681646861
SI,2026-04-03,94.0,-2.93,5.47,"King, Michael",575929,650633,,ball,,,,,13,Ball,R,R,R,BOS,SD,B,,,0,1,2026,-1.56,0.67,-2.5138739937700394,0.9936896002827482,,,,0,2,Bot,,,,,,,4.526016049307162,-136.66114244994628,-7.006471518419097,-20.455669286922028,33.58309821047977,-22.37044916498063,3.229658793,1.62992126,,,,92.6,2360,5.8,824786,669134,657757,630105,592518,593428,657656,701538,665487,54.71,,,,,,,,10,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,220,0.002,0.031,,,,-0.031,,0,0,0.548,0.548,31,34,31,34,1,0,,,,,1.94,1.56,1.56,,,,,,
SI,2026-04-03,94.0,-3.26,5.33,"King, Michael",575929,650633,,called_strike,,,,,8,Called Strike,R,R,R,BOS,SD,S,,,0,0,2026,-1.6,0.06,0.1488240540514669,2.008979229373919,,,,0,2,Bot,,,,,,,12.15957199102561,-136.30909347317407,-2.6998691942479707,-22.706192957804088,32.772015402715354,-30.977510000012074,3.229658793,1.62992126,,,,92.5,1603,5.8,824786,669134,657757,630105,592518,593428,657656,701538,665487,54.72,,,,,,,,10,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,267,-0.003,-0.039,,,,0.039,,0,0,0.551,0.551,31,34,31,34,1,0,,,,,2.56,1.6,1.6,,,,,,
SI,2026-04-03,92.7,-0.7,5.43,"Gray, Sonny",609280,543243,field_out,hit_into_play,,,,,9,"Miguel Andujar grounds out, shortstop Trevor Story to first baseman Willson Contreras.",R,R,R,BOS,SD,X,6,ground_ball,3,2,2026,-0.62,0.54,0.3541823367162625,1.8717476424158688,,,,2,2,Top,108.24,149.28,,,,,4.073809441986354,-134.91005918323745,-4.240698768317353,-8.531443540093024,31.64174667329818,-24.86173102430285,3.191043307,1.610433071,17,100.8,-6,92.7,2318,6.5,824786,665966,575929,691785,702332,596115,680776,678882,677800,54.01,0.266,0.239,0.0,1,0,0,2,9,6,Sinker,0,0,0,0,0,0,0,0,Standard,Strategic,208,0.013,-0.328,69.0,8.0,0.279,0.328,100.8,0,0,0.538,0.4619999999999999,36,31,37,31,1,0,,,,,2.13,0.62,0.62,,5.548113927817976,-6.996191605268655,26.49287153205562,42.70366085585315,33.511733517132654
FF,2026-04-03,92.6,-0.78,5.55,"Gray, Sonny",609280,543243,,foul,,,,,5,Foul,R,R,R,BOS,SD,S,,,3,1,2026,0.03,1.07,0.2565861797089181,2.417959943281385,,,,2,2,Top,,,,,,,2.543268687998352,-134.9381759236342,-4.439060628472017,-0.0990038622624678,27.039141042704248,-18.345518798099125,3.191043307,1.610433071,200,72.5,55,93.3,2487,6.5,824786,665966,575929,691785,702332,596115,680776,678882,677800,54.03,,,,,,,,9,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,199,0.003,-0.086,70.9,7.9,,0.086,88.0,0,0,0.535,0.4649999999999999,36,31,37,31,1,0,,,,,1.57,-0.03,-0.03,,6.469808271428295,-5.225475153185746,27.197893488679448,42.34269572365315,33.91909514835142
FC,2026-04-03,88.6,-0.86,5.54,"Gray, Sonny",609280,543243,,ball,,,,,12,Ball,R,R,R,BOS,SD,B,,,2,1,2026,0.53,0.1,1.1066858365144625,2.529861858568365,,,,2,2,Top,,,,,,,3.63259290885824,-129.04464445026204,-1.3233915452202447,5.226008897776587,25.90925331370242,-31.007577797699994,3.191043307,1.610433071,,,,89.2,2605,6.5,824786,665966,575929,691785,702332,596115,680776,678882,677800,53.99,,,,,,,,9,4,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,122,-0.004,0.117,,,,-0.117,,0,0,0.539,0.4609999999999999,36,31,37,31,1,0,,,,,2.79,-0.53,-0.53,,,,,,
SI,2026-04-03,93.4,-0.59,5.55,"Gray, Sonny",609280,543243,,ball,,,,,14,Ball,R,R,R,BOS,SD,B,,,1,1,2026,-1.05,0.64,1.5894046855317805,0.2848378653638361,,,,2,2,Top,,,,,,,7.936580697838345,-135.57928176531829,-8.956221767683104,-14.697131197616947,29.969126981901148,-22.50083991293476,3.191043307,1.610433071,,,,93.8,2442,6.7,824786,665966,575929,691785,702332,596115,680776,678882,677800,53.79,,,,,,,,9,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,208,-0.002,0.053,,,,-0.053,,0,0,0.541,0.4589999999999999,36,31,37,31,1,0,,,,,1.99,1.05,1.05,,,,,,
ST,2026-04-03,86.1,-0.76,5.66,"Gray, Sonny",609280,543243,,ball,,,,,14,Ball,R,R,R,BOS,SD,B,,,0,1,2026,1.14,-0.08,1.3458752223755537,1.5548491850923938,,,,2,2,Top,,,,,,,2.5728273422386208,-125.3131904205748,-3.0489025321047225,11.34053868584976,27.99029685569294,-32.5589906540444,3.191043307,1.610433071,,,,86.0,2680,6.5,824786,665966,575929,691785,702332,596115,680776,678882,677800,54.03,,,,,,,,9,2,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,44,-0.001,0.027,,,,-0.027,,0,0,0.542,0.4579999999999999,36,31,37,31,1,0,,,,,3.18,-1.14,-1.14,,,,,,
FC,2026-04-03,90.5,-0.78,5.51,"Gray, Sonny",609280,543243,,swinging_strike,,,,,14,Swinging Strike,R,R,R,BOS,SD,S,,,0,0,2026,0.34,0.5,1.2971953498573556,2.059053592084745,,,,2,2,Top,,,,,,,4.409668486813232,-131.77404601231817,-3.5503760482295066,3.010035493774527,27.893298194141632,-25.840808655113392,3.191043307,1.610433071,,,,90.9,2661,6.5,824786,665966,575929,691785,702332,596115,680776,678882,677800,53.99,,,,,,,,9,1,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,173,0.002,-0.043,74.2,8.4,,0.043,,0,0,0.54,0.4599999999999999,36,31,37,31,1,0,,,,,2.28,-0.34,-0.34,,15.29404743065646,-23.963517061411117,25.069882841853172,54.19164467453261,44.69397869948578
SI,2026-04-03,92.5,-0.78,5.51,"Gray, Sonny",657656,543243,field_out,hit_into_play,,,,,4,Ramón Laureano flies out to left fielder Jarren Duran.,R,R,R,BOS,SD,X,7,fly_ball,2,1,2026,-1.18,0.32,-0.4071659283093276,2.3348950546374763,,,,1,2,Top,93.12,72.7,,,,,3.565570344831664,-134.59190538630943,-2.765053821182984,-15.091224942082508,30.764986477519383,-27.848762906274786,3.064665354,1.546653543,324,90.5,24,92.8,2324,6.6,824786,665966,575929,691785,702332,596115,680776,678882,677800,53.91,0.123,0.138,0.0,1,0,0,3,8,4,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,201,0.02,-0.298,76.4,6.9,0.22,0.298,90.5,0,0,0.52,0.48,36,31,37,32,1,0,,,,,2.35,1.18,1.18,,2.3441998083988134,1.2833389065282872,33.803527582748345,36.86842741253308,32.841938275707506
FC,2026-04-03,88.7,-0.95,5.5,"Gray, Sonny",657656,543243,,ball,,,,,14,Ball,R,R,R,BOS,SD,B,,,1,1,2026,0.42,0.53,1.0097400201159248,1.1131579379729204,,,,1,2,Top,,,,,,,3.84027935977747,-129.09778616203607,-5.585102993753203,3.97239929367593,25.72917705029996,-25.362767639375356,3.064665354,1.546653543,,,,89.1,2589,6.4,824786,665966,575929,691785,702332,596115,680776,678882,677800,54.06,,,,,,,,8,3,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,195,-0.004,0.055,,,,-0.055,,0,0,0.524,0.476,36,31,37,32,1,0,,,,,2.36,-0.42,-0.42,,,,,,
FC,2026-04-03,88.9,-0.8,5.55,"Gray, Sonny",657656,543243,,ball,,,,,14,Ball,R,R,R,BOS,SD,B,,,0,1,2026,0.48,0.22,1.7131559768073543,1.3891356751934407,,,,1,2,Top,,,,,,,5.067069289055945,-129.38133404526147,-4.426708610197855,4.3527894631727015,25.971138407390573,-29.001028688927352,3.064665354,1.546653543,,,,89.3,2633,6.4,824786,665966,575929,691785,702332,596115,680776,678882,677800,54.07,,,,,,,,8,2,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,159,-0.002,0.029,,,,-0.029,,0,0,0.526,0.474,36,31,37,32,1,0,,,,,2.65,-0.48,-0.48,,,,,,
FF,2026-04-03,92.5,-0.82,5.53,"Gray, Sonny",657656,543243,,foul,,,,,9,Foul,R,R,R,BOS,SD,S,,,0,0,2026,-0.11,1.3,0.445434045833091,1.870565803265596,,,,1,2,Top,,,,,,,3.455058142285708,-134.70810154629544,-6.292902579396778,-2.040146062069889,27.235336897116603,-15.136626443576157,3.064665354,1.546653543,215,74.0,40,93.5,2531,6.7,824786,665966,575929,691785,702332,596115,680776,678882,677800,53.84,,,,,,,,8,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,219,0.003,-0.039,72.2,7.0,,0.039,88.0,0,0,0.523,0.477,36,31,37,32,1,0,,,,,1.34,0.11,0.11,,2.5304077223880137,7.8126289024406015,36.77975237153511,46.46602408452341,26.925848557075213
ST,2026-04-03,85.2,-0.84,5.63,"Gray, Sonny",592518,543243,field_out,hit_into_play,,,,,5,"Manny Machado grounds out, third baseman Caleb Durbin to first baseman Willson Contreras.",R,R,R,BOS,SD,X,5,ground_ball,0,2,2026,1.19,-0.35,0.1850375563553835,2.609938131005378,,,,0,2,Top,94.96,149.4,,,,,-0.0655814990177172,-124.16291884010262,0.1313680961013046,12.32759937695116,25.44207117919527,-36.06765068108875,3.313910761,1.672440945,4,76.3,-31,85.5,2618,6.4,824786,665966,575929,691785,702332,596115,680776,678882,677800,54.05,0.032,0.029,0.0,1,0,0,2,7,3,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,49,0.014,-0.165,75.1,7.5,0.032,0.165,88.0,0,0,0.509,0.491,36,33,37,34,1,0,,,,,3.49,-1.19,-1.19,,7.957493233243831,-0.4967162388166501,23.644358964718755,39.48197029823408,34.480269484108035
SI,2026-04-03,92.5,-0.66,5.57,"Gray, Sonny",592518,543243,,foul,,,,,11,Foul,R,R,R,BOS,SD,S,,,0,1,2026,-1.14,0.44,-1.473369609412427,2.53327810254938,,,,0,2,Top,,,,,,,0.486736324624106,-134.80104468385318,-2.7740785753949204,-14.106876169589189,28.07899323567005,-26.407016018113904,3.313910761,1.672440945,,,,93.2,1143,6.5,824786,665966,575929,691785,702332,596115,680776,678882,677800,53.98,,,,,,,,7,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,192,0.006,-0.055,70.8,6.6,,0.055,,0,0,0.503,0.497,36,33,37,34,1,0,,,,,2.21,1.14,1.14,,-6.67171192290821,10.536224222778632,31.217212245342797,21.433398817023317,19.936186384459443
FC,2026-04-03,89.1,-0.87,5.62,"Gray, Sonny",592518,543243,,foul,,,,,6,Foul,R,R,R,BOS,SD,S,,,0,0,2026,0.27,0.53,0.3924260656506199,2.507713906827538,,,,0,2,Top,,,,,,,2.4872280425591984,-129.86213353605712,-2.5783420513349173,2.510049234516206,26.41747133776429,-25.816270478932985,3.313910761,1.672440945,,,,89.5,2759,6.4,824786,665966,575929,691785,702332,596115,680776,678882,677800,54.15,,,,,,,,7,1,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,165,0.003,-0.039,73.8,8.1,,0.039,,0,0,0.5,0.5,36,33,37,34,1,0,,,,,2.32,-0.27,-0.27,,4.634617480925426,4.638816101605928,28.562272480169064,42.276404571189815,21.87692441574785
CH,2026-04-03,87.4,-3.3,5.15,"King, Michael",680776,650633,field_out,hit_into_play,,,,,7,Jarren Duran grounds out to first baseman Gavin Sheets.,R,L,R,BOS,SD,X,3,ground_ball,0,1,2026,-1.45,0.41,-0.5894386238778593,1.90447857451824,,,,2,1,Bot,163.07,162.14,,,,,9.34845538094088,-127.00003231865789,-2.298692463117374,-17.545358609443912,25.14082193827929,-27.456474260912668,3.229658793,1.62992126,10,85.8,-12,86.4,2072,5.6,824786,669134,657757,630105,592518,593428,657656,701538,665487,54.86,0.157,0.15,0.0,1,0,0,2,6,2,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,254,-0.008,-0.217,75.2,8.2,0.174,0.217,88.0,0,0,0.508,0.508,31,29,31,30,1,0,,,,,2.57,1.45,-1.45,,13.84584120702239,-11.454527593815188,25.971703631001677,42.66247094898695,44.11321567467708
SI,2026-04-03,94.3,-3.24,5.31,"King, Michael",680776,650633,,foul,,,,,7,Foul,R,L,R,BOS,SD,S,,,0,0,2026,-1.63,0.0,-0.7853752281623181,1.5562848784332202,,,,2,1,Bot,,,,,,,9.866800373097204,-136.82369963332144,-3.7137982783518586,-22.760513043286853,33.1181199575133,-31.4753545321863,3.229658793,1.62992126,41,25.9,44,92.8,202,5.8,824786,669134,657757,630105,592518,593428,657656,701538,665487,54.73,,,,,,,,6,1,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,74,-0.002,-0.043,70.3,7.7,,0.043,88.0,0,0,0.51,0.51,31,29,31,30,1,0,,,,,2.6,1.63,-1.63,,9.536883964437855,4.480438651459756,27.58596313458344,43.65327640324976,31.574921531837475
ST,2026-04-03,83.7,-3.02,5.52,"King, Michael",596115,650633,field_out,hit_into_play,,,,,13,Trevor Story pops out to third baseman Manny Machado.,R,R,R,BOS,SD,X,5,popup,2,2,2026,1.33,-0.06,-0.8567168884426515,2.0746050034001287,,,,1,1,Bot,89.48,150.16,,,,,2.239484731103017,-121.93686892037356,-1.2283708811604317,12.81119753036776,23.55671658646503,-32.760901813698794,3.241945538,1.636122047,156,72.9,61,82.9,2837,5.6,824786,669134,657757,630105,592518,593428,657656,701538,665487,54.87,0.011,0.012,0.0,1,0,0,3,5,5,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,61,-0.014,-0.228,71.5,7.7,0.016,0.228,88.0,0,0,0.524,0.524,31,33,31,34,1,0,,,,,3.3,-1.33,-1.33,,8.866697818105905,-19.553367875279985,36.43211476864312,26.839033814481247,42.573323547947794
SI,2026-04-03,95.0,-3.28,5.37,"King, Michael",596115,650633,,foul,,,,,7,Foul,R,R,R,BOS,SD,S,,,2,1,2026,-1.44,0.5,-0.8083849255763258,1.6350355881024152,,,,1,1,Bot,,,,,,,9.55696832416328,-137.95374330153905,-4.939582786551357,-20.577045549915244,32.200644288995804,-24.82332998816463,3.241945538,1.636122047,3,,-35,93.7,2342,5.7,824786,669134,657757,630105,592518,593428,657656,701538,665487,54.76,,,,,,,,5,4,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,221,-0.005,-0.07,71.3,7.5,,0.07,,0,0,0.529,0.529,31,33,31,34,1,0,,,,,2.05,1.44,1.44,,5.301072833416513,0.7195481881232445,39.39567134246727,29.696550982673195,31.73294087622039
ST,2026-04-03,82.3,-3.28,5.38,"King, Michael",596115,650633,,ball,,,,,14,Ball,R,R,R,BOS,SD,B,,,1,1,2026,1.77,0.08,1.271220177880427,1.1729329720114583,,,,1,1,Bot,,,,,,,6.630290157878072,-119.71015000887088,-2.9220730559218397,15.712118461626496,23.3806547137976,-30.99559488216309,3.241945538,1.636122047,,,,81.4,2872,5.7,824786,669134,657757,630105,592518,593428,657656,701538,665487,54.8,,,,,,,,5,3,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,70,0.004,0.055,,,,-0.055,,0,0,0.525,0.525,31,33,31,34,1,0,,,,,3.29,-1.77,-1.77,,,,,,
ST,2026-04-03,83.2,-3.26,5.3,"King, Michael",596115,650633,,ball,,,,,14,Ball,R,R,R,BOS,SD,B,,,0,1,2026,1.51,0.27,1.4605020959765942,1.513554210587808,,,,1,1,Bot,,,,,,,7.592521570951042,-120.939217058688,-2.494216996200996,13.278614020187174,24.28338445500845,-29.21233084448598,3.241945538,1.636122047,,,,82.2,2962,5.7,824786,669134,657757,630105,592518,593428,657656,701538,665487,54.75,,,,,,,,5,2,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,69,0.001,0.029,,,,-0.029,,0,0,0.524,0.524,31,33,31,34,1,0,,,,,3.04,-1.51,-1.51,,,,,,
SI,2026-04-03,93.3,-3.16,5.33,"King, Michael",596115,650633,,called_strike,,,,,14,Called Strike,R,R,R,BOS,SD,S,,,0,0,2026,-1.46,0.36,0.9258323935534284,1.996499266681257,,,,1,1,Bot,,,,,,,13.387079449086006,-135.07342476747107,-3.2567531348804857,-20.866492327027466,31.74167079666851,-27.209867686589178,3.241945538,1.636122047,,,,91.5,2339,5.6,824786,669134,657757,630105,592518,593428,657656,701538,665487,54.85,,,,,,,,5,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,228,-0.002,-0.039,,,,0.039,,0,0,0.526,0.526,31,33,31,34,1,0,,,,,2.3,1.46,1.46,,,,,,
CH,2026-04-03,86.4,-3.37,5.18,"King, Michael",701350,650633,field_out,hit_into_play,,,,,11,"Roman Anthony grounds out, third baseman Manny Machado to first baseman Gavin Sheets.",R,L,R,BOS,SD,X,5,ground_ball,1,1,2026,-1.43,0.5,-1.3624403772555893,2.693103728027095,,,,0,1,Bot,117.03,147.61,,,,,7.575857514119393,-125.6066890713436,-0.545647814543476,-16.67651355285545,25.12542453045308,-26.981147437537103,3.326197507,1.678641732,82,59.1,10,85.5,1824,5.7,824786,669134,657757,630105,592518,593428,657656,701538,665487,54.79,0.158,0.147,0.0,1,0,0,1,4,3,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,248,-0.021,-0.251,55.2,7.7,0.193,0.251,88.0,0,0,0.547,0.547,31,22,31,22,1,0,,,,,2.56,1.43,-1.43,,0.2620356625834046,6.0840604559460285,28.466519249931174,49.46669919828421,29.202152140974214
