pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-04-03,94.8,-2.58,5.1,"Iglesias, Raisel",672695,628452,,called_strike,,,,,4,Called Strike,R,L,R,AZ,ATL,S,,,1,0,2026,-1.02,1.15,-0.6123889624135752,2.672901189092081,,,,1,9,Bot,,,,,,,7.372208080249743,-137.84101912922085,-3.080490527352094,-14.702017704774342,31.44619048218048,-17.01408886643517,3.31742126,1.674212598,,,,94.4,2317,6.1,825103,686948,621566,645277,663586,643289,573262,671739,660670,54.36,,,,,,,,64,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Strategic,Standard,235,-0.009,-0.049,,,,0.049,,-2,-2,0.054,0.054,36,26,36,27,1,3,,,,,1.39,1.02,-1.02,,,,,,
FF,2026-04-03,95.0,-2.55,5.08,"Iglesias, Raisel",672695,628452,,ball,,,,,11,Ball,R,L,R,AZ,ATL,B,,,0,0,2026,-0.85,1.25,-0.2490999838255945,4.20370650908922,,,,1,9,Bot,,,,,,,7.868809779130054,-138.10768257610255,0.6713171346317954,-12.62026983040936,32.43624075030464,-16.632852360666455,3.31742126,1.674212598,,,,94.8,2332,6.3,825103,686948,621566,645277,663586,643289,573262,671739,660670,54.15,,,,,,,,64,1,4-Seam Fastball,0,2,0,2,2,0,0,2,Strategic,Standard,230,0.007,0.039,,,,-0.039,,-2,-2,0.047,0.047,36,26,36,27,1,3,,,,,1.29,0.85,-0.85,,,,,,
SI,2026-04-03,93.3,-1.63,5.42,"Iglesias, Raisel",682998,628452,field_out,hit_into_play,,,,,2,Corbin Carroll flies out sharply to center fielder Michael Harris II.,R,L,R,AZ,ATL,X,8,fly_ball,2,1,2026,-1.52,0.65,0.2039698868131221,2.6585679911269717,,,,0,9,Bot,143.27,90.91,,,,,8.002421549880797,-135.51602364148022,-2.5143205350042157,-20.51814482879867,32.4508337816855,-23.86357846656991,3.10328084,1.566141732,273,102.0,52,92.3,2240,6.0,825103,686948,621566,645277,663586,643289,573262,671739,660670,54.5,0.02,0.028,0.0,1,0,0,3,63,4,Sinker,0,2,0,2,2,0,0,2,Strategic,Standard,222,-0.058,-0.305,80.8,7.9,0.043,0.305,102.0,-2,-2,0.105,0.105,36,25,36,26,1,3,,,,,2.0,1.52,-1.52,,13.222174045736784,-2.269714722308568,24.049911043385112,39.17458599819767,39.50123615837937
FF,2026-04-03,95.3,-1.68,5.56,"Iglesias, Raisel",682998,628452,,ball,,,,,12,Ball,R,L,R,AZ,ATL,B,,,1,1,2026,-0.68,1.4,1.3685786025638058,2.8268736753712496,,,,0,9,Bot,,,,,,,9.385678712523807,-138.4024624939435,-4.469434216410916,-10.881499419033286,32.06000173337644,-13.424433181629109,3.10328084,1.566141732,,,,94.6,2328,6.1,825103,686948,621566,645277,663586,643289,573262,671739,660670,54.43,,,,,,,,63,3,4-Seam Fastball,0,2,0,2,2,0,0,2,Strategic,Standard,221,0.012,0.055,,,,-0.055,,-2,-2,0.093,0.093,36,25,36,26,1,3,,,,,1.13,0.68,-0.68,,,,,,
FF,2026-04-03,93.4,-1.85,5.5,"Iglesias, Raisel",682998,628452,,swinging_strike,,,,,12,Swinging Strike,R,L,R,AZ,ATL,S,,,1,0,2026,-0.56,1.29,0.758151540845395,3.344128256166396,,,,0,9,Bot,,,,,,,7.836486437850305,-135.8744397182491,-2.496573597066119,-8.657576320154343,30.520087623372422,-15.84731038145882,3.10328084,1.566141732,,,,92.7,2192,6.0,825103,686948,621566,645277,663586,643289,573262,671739,660670,54.54,,,,,,,,63,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Strategic,Standard,212,-0.012,-0.05,76.1,6.7,,0.05,,-2,-2,0.105,0.105,36,25,36,26,1,3,,,,,1.33,0.56,-0.56,,10.029692537173675,5.773561317842216,22.80872490419412,31.791408459591583,28.27308141195461
FF,2026-04-03,93.5,-1.76,5.6,"Iglesias, Raisel",682998,628452,,ball,,,,,12,Ball,R,L,R,AZ,ATL,B,,,0,0,2026,-0.62,1.4,1.02751017616415,2.704550233678728,,,,0,9,Bot,,,,,,,8.41763609321595,-135.79999782492504,-4.610247689693543,-9.54232333330374,30.674054202041614,-14.022049217682586,3.10328084,1.566141732,,,,92.8,2185,6.0,825103,686948,621566,645277,663586,643289,573262,671739,660670,54.45,,,,,,,,63,1,4-Seam Fastball,0,2,0,2,2,0,0,2,Strategic,Standard,224,0.01,0.041,,,,-0.041,,-2,-2,0.095,0.095,36,25,36,26,1,3,,,,,1.22,0.62,-0.62,,,,,,
SL,2026-04-03,77.1,-3.87,3.7,"Thompson, Ryan",643289,657044,field_out,hit_into_play,,,,,6,Mauricio Dubón flies out to left fielder Tim Tawa.,R,R,R,AZ,ATL,X,7,fly_ball,0,1,2026,1.1,0.8,0.3114005237040715,2.4679421059071367,,,,2,9,Top,60.7,104.06,,,,,6.744763243952621,-112.06157752619106,3.1150329441588385,7.972373503502701,21.368288324920783,-26.34183145918839,3.17085794,1.600246063,284,84.3,43,77.2,2289,6.6,825103,543510,467793,606466,571448,672695,694374,677950,682998,53.92,0.014,0.017,0.0,1,0,0,3,62,2,Slider,0,2,2,0,2,0,2,0,Standard,Standard,89,0.004,-0.217,65.3,8.1,0.026,0.217,88.0,-2,2,0.091,0.909,34,31,34,32,1,3,,,,,3.06,-1.1,-1.1,,19.55461575333631,-15.21193698714491,23.841766607563105,39.0978418309265,49.45549005988704
SI,2026-04-03,88.4,-3.91,3.67,"Thompson, Ryan",643289,657044,,called_strike,,,,,9,Called Strike,R,R,R,AZ,ATL,S,,,0,0,2026,-1.08,-0.66,0.475971492692713,1.5710199744795896,,,,2,9,Top,,,,,,,12.886140406040226,-128.06538960502144,2.675778521363446,-14.657116958114072,27.797609017413716,-40.33535322947154,3.17085794,1.600246063,,,,88.5,2028,6.7,825103,543510,467793,606466,571448,672695,694374,677950,682998,53.77,,,,,,,,62,1,Sinker,0,2,2,0,2,0,2,0,Standard,Standard,276,0.001,-0.043,,,,0.043,,-2,2,0.09,0.91,34,31,34,32,1,3,,,,,3.62,1.08,1.08,,,,,,
FF,2026-04-03,91.2,-3.68,4.41,"Sewald, Paul",642086,623149,strikeout,swinging_strike,,,,,11,Dominic Smith strikes out swinging.,R,L,R,AZ,ATL,S,2,,2,2,2026,-0.89,1.01,-0.9319829015126984,2.926902440919508,,,,1,9,Top,,,,,,,8.748655256559367,-132.59217323562058,0.0917097489826266,-12.3071803249769,26.89931203682454,-20.41077621725376,3.176123688,1.602903543,,,,91.3,2600,6.3,825103,543510,467793,606466,571448,672695,694374,677950,682998,54.23,,0.0,0.0,1,0,0,,61,7,4-Seam Fastball,0,2,2,0,2,0,2,0,Strategic,Standard,242,0.005,-0.228,63.8,6.1,,0.228,,-2,2,0.085,0.915,36,31,36,31,1,0,,,,,1.72,0.89,-0.89,,-4.369361740982873,23.16685930173136,28.98742796014461,46.380329801159135,14.205699185034671
ST,2026-04-03,81.4,-3.74,4.57,"Sewald, Paul",642086,623149,,foul,,,,,4,Foul,R,L,R,AZ,ATL,S,,,2,2,2026,1.44,0.36,-0.6659253404414125,2.1945030824339256,,,,1,9,Top,,,,,,,3.9720882825309953,-118.49234708228865,0.7665803176716188,12.793416268126435,23.328352827920984,-29.17413592822486,3.176123688,1.602903543,,,,81.1,2387,6.2,825103,543510,467793,606466,571448,672695,694374,677950,682998,54.34,,,,,,,,61,6,Sweeper,0,2,2,0,2,0,2,0,Infield shade,Standard,74,0.0,0.0,65.2,6.7,,0.0,,-2,2,0.085,0.915,36,31,36,31,1,0,,,,,3.09,-1.44,1.44,,1.9489448351499952,15.73674326969802,30.81602752633051,43.69978474220849,23.224898538176543
